pareçiere	pareciere
salir	salir
vençedor	vencedor
con	con
vra	vuestra
firmeza	firmeza
o	o
con	con
acabar	acabar
con	con
todo	todo
muy	muy
largo	largo
los	los
e	he
escrito	escrito
advirtiendoos	advirtiéndoos
de	de
el	el
orden	orden
q	que
aveys	habéis
de	de
guardar	guardar
para	para
q	que
nro	nuestro
esto	estado
no	no
se	se
dilate	dilate
q	que
es	es
lo	lo
que	que
pretenden	pretenden
nros	nuestros
enemigos	enemigos
y	y
os	os
enbie	envié
a	a
pedir	pedir
dos	dos
firmas	firmas
e	en
blanco	blanco
quando	cuando
otra	otra
cosa	cosa
no	no
pudiese	pudiese
ser	ser
çierto	cierto
estoy	estoy
que	que
en	en
todo	todo
tendreis	tendréis
cuydado	cuidado
y	y
por	por
no	no
cansaros	cansaros
y	y
tener	tener
mala	mala
tinta	tinta
no	no
me	me
quiero	quiero
alargar	alargar
suplicoos	suplícoos
encarecidamte	encarecidamente
puedo	puedo
q	que
y	y
todo	todo
lo	lo
q	que
vos	vos
quisieredes	quisiéredes
tened	tened
por	por
cierto	cierto
q	que
se	se
hase	hace
por	por
aca	acá
lo	lo
q	que
humanamte	humanamente
se	se
puede	puede
q	que
ya	ya
veys	veis
que	que
no	no
ariesgo	arriesgo
menos	menos
q	que
la	la
bida	vida
y	y
q	que
me	me
tiene	tiene
atravesado	atravesado
el	el
coraçon	corazón
veros	veros
padecer	padecer
quedo	quedo
por	por
lo	lo
q	que
soyvuestro	soyvuestro
hasta	hasta
la	la
muertegaspar	muertegaspar
suarezpara	suárezpara
mi	mi
sa	señora
de	de
mi	mi
alma	alma
doña	doña
maria	maría
de	de
torres	torres
mi	mi
sa	señora
mi	mi
ceñor	señor
y	y
mi	mi
padre	padre
de	de
mi	mi
coraconsabra	corazónsabrá
vm	vm
q	que
despues	después
q	que
ayer	ayer
l	le
enbie	envié
aqel	aquel
billete	billete
me	me
halle	hallé
en	en
mi	mi
faldyqra	faltriquera
sin	sin
saber	saber
qien	quién
me	me
lo	lo
abia	había
dado	dado
ese	ese
billete	billete
suplyco	suplico
a	a
vm	vm
q	que
lo	lo
mande	mande
persentar	presentar
al	al
yllustrisima	ilustrísima
ceñoria	señoría
q	que
bea	vea
las	las
persuasiones	persuasiones
del	del
lisensiado	licenciado
marin	marín
y	y
no	no
dygo	digo
mas	más
a	a
mi	mi
ceñora	señora
y	y
madre	madre
de	de
mi	mi
coracon	corazón
beso	beso
las	las
manos	manos
y	y
qdo	quedo
de	de
vmobedyente	vmobediente
yjadoña	hijadoña
maria	maría
de	de
tores	torres
senorcomo	señorcomo
los	los
dias	días
pasados	pasados
le	le
pide	pedí
de	de
md	merced
me	me
hiziese	hiciese
un	un
millar	millar
de	de
jurelos	jurelos
para	para
probeer	proveer
la	la
casa	casa
de	de
mi	mi
hro	hermano
y	y
que	que
los	los
tomava	tomaba
en	en
el	el
presçio	precio
justo	justo
y	y
que	que
le	le
haria	haría
por	por
mi	mi
parte	parte
de	de
la	la
tercia	tercia
parte	parte
de	de
la	la
casa	casa
alquiler	alquiler
por	por
el	el
presçio	precio
que	que
vm	vm
mandare	mandare
y	y
por	por
esta	ésta
le	le
pido	pido
de	de
md	merced
que	que
no	no
aya	haya
otra	otra
cosa	cosa
porque	porque
mi	mi
hro	hermano
lo	lo
tratara	tratará
con	con
vm	vm
y	y
esta	esta
md	merced
le	le
pido	pido
de	de
md	merced
porque	porque
aunque	aunque
por	por
agora	ahora
le	le
paresca	parezca
agrabio	agravio
sera	será
alibio	alivio
para	para
lo	lo
adelante	adelante
y	y
con	con
esto	esto
ceso	ceso
de	de
curteis	curtis
al	al
prmo	primero
de	de
sepe	septiembre
de	de
donde	donde
quedoal	quedoal
svio	servicio
de	de
vmalonso	vmalonso
de	de
santiso	santiso
senor	señor
beso	beso
a	a
vm	vm
las	las
manos	manos
por	por
la	la
md	merced
que	que
me	me
aze	hace
en	en
ayudarme	ayudarme
a	a
echar	echar
cuidados	cuidados
aparte	aparte
lope	lope
de	de
coiro	coiro
mi	mi
hixo	hijo
me	me
dixo	dijo
q	que
en	en
quanto	cuanto
a	a
lo	lo
de	de
la	la
moça	moza
trataçe	tratase
con	con
el	el
mercader	mercader
le	le
diese	diese
el	el
pano	paño
que	que
montaçe	montase
los	los
maravedis	maravedís
que	que
vm	vm
me	me
avia	había
de	de
dar	dar
por	por
esta	esta
pascoa	pascua
pasada	pasada
ella	ella
no	no
ba	va
a	a
otra	otra
cosa	cosa
suplico	suplico
a	a
vm	vm
pme	perdóneme
el	el
travaxo	trabajo
por	por
azerme	hacerme
md	merced
de	de
azer	hacer
llamar	llamar
el	el
mercader	mercader
a	a
su	su
caça	casa
i	y
delante	delante
d	de
ella	ella
lo	lo
consierte	concierte
con	con
el	él
como	como
yo	yo
lo	lo
espero	espero
de	de
vm	vm
lo	lo
ara	hará
como	como
sor	señor
y	y
quedo	quedo
en	en
esta	esta
casa	casa
de	de
vm	vm
oy	hoy
juebesb	juevesbesa
la	la
m	mano
de	de
vmd	vm
su	su
servidoramaria	servidoramaría
lopez	lópez
d	de
aguiarpara	aguiarpara
el	el
senor	señor
ramiro	ramiro
de	de
villegas	villegas
abogado	abogado
en	en
la	la
real	real
audiencia	audiencia
muy	muy
magca	magnífica
saay	señoraahí
lleba	lleva
artud	artud
el	el
conocymyo	conocimiento
como	como
vramd	vm
lo	lo
pide	pide
cuando	cuando
yo	yo
muriese	muriese
mas	más
perdera	perderá
vra	vuestra
md	merced
en	en
perderme	perderme
de	de
lo	lo
que	que
podria	podría
baler	valer
otra	otra
azienda	hacienda
mayor	mayor
pues	pues
si	si
yo	yo
bibo	vivo
bastaba	bastaba
my	mi
palabra	palabra
pero	pero
pues	pues
vramd	vm
lo	lo
quyere	quiere
asi	así
a	a
my	mí
no	no
se	se
me	me
da	da
nada	nada
que	que
al	al
buen	buen
pagador	pagador
no	no
le	le
duelen	duelen
prendasfangio	prendasfangio
bino	vino
aquy	aquí
y	y
fuese	fuese
sin	sin
ablarme	hablarme
pensando	pensando
que	que
le	le
queria	quería
tomar	tomar
el	el
cuantao	cuantao
y	y
el	el
mercader	mercader
que	que
fio	fió
los	los
pavos	pavos
esta	está
echo	hecho
un	un
perro	perro
porque	porque
no	no
se	se
los	los
traxeron	trajeron
que	que
ya	ya
tubiera	tuviera
bendido	vendido
buena	buena
parte	parte
d	de
ellos	ellos
por	por
amor	amor
de	de
dios	dios
que	que
se	se
los	los
ynbien	envíen
luego	luego
y	y
de	de
manera	manera
que	que
no	no
se	se
mojen	mojen
ny	ni
ençuzien	ensucien
porque	porque
no	no
pierda	pierda
yo	yo
ay	ahí
lo	lo
que	que
no	no
tengo	tengo
que	que
por	por
poco	poco
trabajo	trabajo
se	se
suele	suele
perder	perder
muchode	muchode
mas	más
d	de
esto	esto
nosotros	nosotros
nos	nos
detubimos	detuvimos
aquy	aquí
mas	más
de	de
lo	lo
que	que
pensabamos	pensábamos
y	y
los	los
dyneros	dineros
se	se
nos	nos
acabaron	acabaron
como	como
antes	antes
a	a
vramd	vm
dira	dirá
para	para
de	de
presto	presto
yo	yo
no	no
se	sé
donde	dónde
ynbié	envié
a	a
vuscar	buscar
otros	otros
si	si
vramd	vm
no	no
socorre	socorre
asta	hasta
que	que
acabemos	acabemos
esta	esta
jornada	jornada
por	por
amor	amor
de	de
dios	dios
que	que
no	no
benga	venga
sin	sin
rrecado	recado
y	y
sea	sea
luego	luego
nro	nuestro
senor	señor
la	la
muy	muy
magca	magnífica
persona	persona
de	de
vramd	vm
guarde	guarde
como	como
deseo	deseo
de	de
santo	santiago
oy	hoy
lunesa	lunesa
serbico	servicio
de	de
vramdro	vmrodrigo
suarez	suárez
de	de
castro	castro
señoryo	señoryo
estoy	estoy
tan	tan
maravillada	maravillada
de	de
la	la
poca	poca
quenta	cuenta
que	que
vmd	vm
haze	hace
de	de
my	mí
no	no
se	sé
por	por
que	qué
lo	lo
haze	hace
tan	tan
mal	mal
e	en
no	no
me	me
aver	haber
escrito	escrito
dos	dos
años	años
a	ha
q	que
si	si
una	una
carta	carta
en	en
q	que
me	me
ynviaba	enviaba
a	a
dezir	decir
q	que
se	se
vendiesen	vendiesen
las	las
casas	casas
yo	yo
señor	señor
rrespondi	respondí
luego	luego
q	que
yo	yo
haria	haría
lo	lo
q	que
me	me
ynviaba	enviaba
a	a
mandar	mandar
no	no
e	he
visto	visto
señor	señor
otra	otra
carta	carta
vra	vuestra
a	a
lo	lo
que	que
señor	señor
me	me
escrevis	escribís
de	de
la	la
mucha	mucha
pena	pena
que	que
dezis	decís
que	que
teneys	tenéis
de	de
la	la
ausenzia	ausencia
mya	mía
no	no
se	se
pareze	parece
en	en
averme	haberme
besitado	visitado
con	con
vras	vuestras
cartas	cartas
siquiera	siquiera
para	para
saver	saber
de	de
la	la
salud	salud
pidos	pídoos
señor	señor
por	por
amor	amor
de	de
nro	nuestro
señor	señor
que	que
no	no
lo	lo
agays	hagáis
ansi	así
siquiera	siquiera
por	por
quien	quien
bos	vos
señor	señor
soys	sois
y	y
el	el
drcho	derecho
d	de
las	las
jentes	gentes
q	que
no	no
les	les
parreze	parece
vien	bien
señor	señor
yo	yo
andaba	andaba
en	en
bender	vender
las	las
casas	casas
como	como
me	me
escrevistes	escribistes
y	y
vino	vino
a	a
my	mí
rruiz	ruiz
barbero	barbero
q	que
el	él
tenya	tenía
carta	carta
que	que
no	no
se	se
vendiesen	vendiesen
y	y
por	por
eso	eso
no	no
las	las
e	he
vendido	vendido
hasta	hasta
que	que
se	se
bea	vea
vra	vuestra
ca	carta
y	y
ansi	así
estare	estaré
hagurdando	aguardando
para	para
lo	lo
hazer	hacer
lo	lo
que	que
por	por
ella	ella
viere	viere
pidos	pídoos
señor	señor
por	por
md	merced
que	que
con	con
el	el
primer	primer
mensajero	mensajero
me	me
ynvie	envíe
avisar	avisar
de	de
todo	todo
porque	porque
yo	yo
no	no
hare	haré
otra	otra
cosa	cosa
mas	más
d	de
lo	lo
q	que
mandare	mandare
señor	señor
vien	bien
pudiera	pudiera
averse	haberse
llegado	llegado
ast	hasta
aquy	aquí
o	o
a	a
un	un
pueblo	pueblo
quatro	cuatro
leguas	leguas
de	de
aquy	aquí
y	y
alli	allí
platicaramos	platicáramos
lo	lo
que	que
se	se
avia	había
de	de
hazer	hacer
y	y
dar	dar
horden	orden
en	en
la	la
vida	vida
q	que
asi	así
lo	lo
azen	hacen
otras	otras
personas	personas
que	que
andan	andan
por	por
alla	allá
de	de
esa	esa
manera	manera
se	señor
mediara	mediara
os	os
besa	besa
las	las
manos	manos
y	y
dize	dice
q	que
tamvien	también
anda	anda
como	como
vm	vm
q	que
su	su
negozio	negocio
nunca	nunca
se	se
acaba	acaba
y	y
q	que
se	se
maravilla	maravilla
mucho	mucho
de	de
que	que
no	no
nos	nos
escribe	escribe
que	que
si	si
el	él
supiese	supiese
donde	dónde
estaba	estaba
que	que
el	él
escreviria	escribiría
no	no
dejeis	dejéis
señor	señor
de	de
le	le
escrevir	escribir
porq	porque
en	en
vdad	verdad
que	que
tiene	tiene
mucho	mucho
deseo	deseo
de	de
saber	saber
de	de
su	su
salud	salud
y	y
verle	verle
aquy	aquí
a	ha
estado	estado
estos	estos
dias	días
en	en
su	su
casa	casa
que	que
no	no
salia	salía
de	de
mi	mí
señor	señor
hos	os
hago	hago
saver	saber
q	que
estoy	estoy
muy	muy
flaca	flaca
y	y
con	con
arto	harto
trabajo	trabajo
e	en
no	no
saber	saber
de	de
vra	vuestra
salud	salud
de	de
los	los
dineros	dineros
de	de
espinosa	espinosa
no	no
los	los
e	he
cobrado	cobrado
no	no
tengo	tengo
mas	más
que	que
le	le
suplicar	suplicar
seno	sino
que	que
lo	lo
haga	haga
ansi	así
como	como
asta	hasta
aquy	aquí
de	de
balld	valladolid
a	a
postrero	postrero
de	de
mayo	mayo
año	año
vdliimaria	vdliimaría
de	de
espinosaa	espinosaa
casarruvios	casarrubios
escrevi	escribí
otra	otra
a	a
lo	lo
que	que
so	señor
mandare	mandare
su	su
mujer	mujer
q	que
mas	más
q	que
a	a
si	sí
le	le
quiere	quiere
mi	mi
señora	señora
y	y
mi	mi
esposallamoos	esposallámoos
asi	así
porque	porque
aunque	aunque
pese	pese
a	a
todo	todo
el	el
mundo	mundo
mi	mi
alma	alma
lo	lo
soys	sois
y	y
aveis	habéis
de	de
ser	ser
hasta	hasta
la	la
muerte	muerte
todo	todo
lo	lo
que	que
os	os
dizen	dicen
contra	contra
esto	esto
es	es
por	por
engañaros	engañaros
como	como
niña	niña
y	y
por	por
apartaros	apartaros
de	de
mi	mi
bien	bien
se	sé
que	que
me	me
levantan	levantan
mill	mil
testimonios	testimonios
falsos	falsos
dandoos	dándoos
a	a
entender	entender
que	que
soy	soy
amançebado	amancebado
y	y
que	que
tengo	tengo
muchos	muchos
hijos	hijos
y	y
otras	otras
mill	mil
faltas	faltas
juro	juro
a	a
dios	dios
y	y
a	a
esta	esta
y	y
asi	así
os	os
vea	vea
yo	yo
en	en
mi	mi
casa	casa
y	y
conpañia	compañía
que	que
es	es
lo	lo
que	que
despues	después
de	de
salvarme	salvarme
mas	más
deseo	deseo
que	que
es	es
la	la
mayor	mayor
mentira	mentira
que	que
el	el
diablo	diablo
formo	formó
mi	mi
alma	alma
y	y
todo	todo
mi	mi
bien	bien
y	y
mi	mi
consuelo	consuelo
y	y
esperança	esperanza
mirad	mirad
que	que
con	con
eso	eso
que	que
vros	vuestros
padres	padres
y	y
doña	doña
valentina	valentina
os	os
hazen	hacen
dezir	decir
contra	contra
mi	mí
os	os
echays	echáis
a	a
perder	perder
a	a
vos	vos
y	y
a	a
mi	mi
me	me
destruys	destruís
y	y
me	me
dilatays	dilatáis
mi	mi
gloria	gloria
y	y
la	la
vuestra	vuestra
señora	señora
mia	mía
tened	tened
animo	ánimo
que	que
vuestros	vuestros
padres	padres
ni	ni
doña	doña
valentina	valentina
ni	ni
el	el
abadesa	abadesa
no	no
os	os
pueden	pueden
hazer	hacer
mal	mal
ninguno	ninguno
estando	estando
vos	vos
en	en
ese	ese
convento	convento
y	y
d	de
el	él
derechamente	derechamente
si	si
vos	vos
quereys	queréis
dezir	decir
en	en
publico	público
a	a
todos	todos
que	que
soys	sois
mi	mi
esposa	esposa
os	os
tenemos	tenemos
de	de
sacar	sacar
brevisimamente	brevísimamente
yo	yo
y	y
vuestro	vuestro
cuñado	cuñado
el	el
liçençiado	licenciado
marin	marín
y	y
toda	toda
la	la
cavalleria	caballería
de	de
sevilla	sevilla
y	y
os	os
tenemos	tenemos
de	de
llevar	llevar
a	a
mi	mi
casa	casa
adonde	adonde
aveys	habéis
de	de
ser	ser
servida	servida
y	y
regalada	regalada
y	y
estimada	estimada
como	como
una	una
reyna	reina
mirad	mirad
mi	mi
señora	señora
que	que
muero	muero
por	por
vos	vos
y	y
padesco	padezco
por	por
vos	vos
y	y
que	que
no	no
tengo	tengo
vida	vida
sin	sin
vos	vos
y	y
que	que
solo	sólo
me	me
consuela	consuela
y	y
aconpaña	acompaña
y	y
me	me
tiene	tiene
vivo	vivo
en	en
mi	mi
soledad	soledad
aquella	aquella
dichosa	dichosa
cama	cama
que	que
os	os
enbie	envié
a	a
el	el
enparedamiento	emparedamiento
la	la
qual	cual
fue	fue
tan	tan
venturosa	venturosa
que	que
mereçio	mereció
gozar	gozar
de	de
vos	vos
lo	lo
qual	cual
yo	yo
no	no
e	he
mereçido	merecido
en	en
ella	ella
me	me
rebuelco	revuelco
y	y
con	con
ella	ella
me	me
abraço	abrazo
y	y
ella	ella
me	me
da	da
esperança	esperanza
de	de
que	que
aveys	habéis
de	de
bolver	volver
a	a
ella	ella
no	no
seays	seáis
tan	tan
desagradeçida	desagradecida
a	a
quien	quien
tanto	tanto
os	os
ama	ama
ni	ni
os	os
mostreis	mostréis
tan	tan
cluel	cruel
a	a
quien	quien
os	os
tiene	tiene
entregado	entregado
por	por
esclavo	esclavo
su	su
coraçon	corazón
del	del
qual	cual
soys	sois
señora	señora
que	que
es	es
todo	todo
lo	lo
que	que
puede	puede
daros	daros
mirad	mirad
señora	señora
mia	mía
que	que
doña	doña
valentina	valentina
y	y
el	el
abadesa	abadesa
os	os
venden	venden
a	a
vuestros	vuestros
padres	padres
por	por
dineros	dineros
y	y
regalos	regalos
q	que
les	les
da	da
y	y
por	por
no	no
perdellos	perderlos
os	os
entretienen	entretienen
y	y
persuaden	persuaden
lo	lo
q	que
no	no
os	os
conviene	conviene
y	y
le	le
van	van
gastando	gastando
muncha	mucha
hazienda	hacienda
que	que
se	se
escusara	excusara
queriendo	queriendo
vos	vos
dizenme	dícenme
que	que
os	os
quiere	quieren
casar	casar
con	con
bartolome	bartolomé
de	de
çamora	zamora
y	y
para	para
esto	esto
os	os
lo	lo
dexan	dejan
en	en
el	el
locutorio	locutorio
solo	solo
y	y
esto	esto
os	os
dizen	dicen
y	y
hazen	hacen
por	por
engañaros	engañaros
y	y
sacaros	sacaros
y	y
llevaros	llevaros
con	con
esta	esta
cautela	cautela
a	a
casa	casa
de	de
vro	vuestro
padre	padre
y	y
alli	allí
tapiaros	tapiaros
y	y
pagarse	pagarse
de	de
vos	vos
muy	muy
a	a
su	su
gusto	gusto
porque	porque
no	no
es	es
posible	posible
en	en
diez	diez
años	años
casaros	casaros
vuestro	vuestro
padre	padre
con	con
el	él
porque	porque
es	es
vuestro	vuestro
pariente	pariente
y	y
no	no
se	se
puede	puede
casar	casar
con	con
vos	vos
sin	sin
dispensaçion	dispensación
y	y
no	no
puede	puede
darsele	dársele
dispensaçion	dispensación
durante	durante
este	este
pleyto	pleito
y	y
aunque	aunque
se	se
le	le
de	dé
se	se
a	ha
de	de
contradezir	contradecir
hasta	hasta
la	la
muerte	muerte
y	y
demas	demás
d	de
esto	esto
no	no
podeys	podéis
casaros	casaros
vos	vos
con	con
el	él
ni	ni
con	con
otro	otro
ninguno	ninguno
del	del
mundo	mundo
por	por
la	la
promesa	promesa
que	que
me	me
aveys	habéis
hecho	hecho
a	a
mi	mí
la	la
qual	cual
por	por
fuerça	fuerza
me	me
aveys	habéis
de	de
cunplir	cumplir
yten	ítem
ya	ya
sabeys	sabéis
que	que
estan	están
sus	sus
padres	padres
muy	muy
pobres	pobres
y	y
muy	muy
cargados	cargados
de	de
hijos	hijos
yten	ítem
todos	todos
ellos	ellos
me	me
dizen	dicen
se	se
mueren	mueren
de	de
eticos	héticos
y	y
que	que
asi	así
se	se
le	le
an	han
muerto	muerto
sus	sus
hermanas	hermanas
esto	esto
vos	vos
lo	lo
sabreys	sabréis
mejor	mejor
y	y
el	él
no	no
esta	está
libre	libre
d	de
esto	esto
pues	pues
toda	toda
es	es
una	una
misma	misma
sangre	sangre
y	y
claro	claro
esta	está
que	que
lo	lo
a	ha
de	de
pegar	pegar
a	a
la	la
con	con
quien	quien
casare	casare
y	y
casamientos	casamientos
entre	entre
parientes	parientes
nunca	nunca
se	se
logran	logran
y	y
una	una
dama	dama
me	me
dizen	dicen
que	que
mantiene	mantiene
oy	hoy
dia	día
que	que
vive	vive
junto	junto
a	a
sant	san
vicente	vicente
en	en
quien	quien
me	me
certifican	certifican
que	que
tiene	tiene
hijos	hijos
y	y
aun	aun
me	me
dizen	dicen
que	que
quiere	quiere
ella	ella
ponelle	ponerle
demanda	demanda
de	de
matrimonio	matrimonio
porque	porque
dizen	dicen
le	le
dio	dio
palabra	palabra
d	de
ello	ello
demas	demás
d	de
esto	esto
bien	bien
mio	mío
quien	¿quién
os	os
a	ha
de	de
servir	servir
y	y
honrrar	honrar
y	y
regalar	regalar
mas	más
y	y
mejor	mejor
yo	¿yo
que	que
os	os
quiero	quiero
mas	más
que	que
a	a
mi	mi
alma	alma
y	y
ossa	osa
que	que
para	para
esto	esto
de	de
vuestra	vuestra
casa	casa
o	¿o
el	él
que	que
es	es
echadizo	hechizado
por	por
vuestros	vuestros
padres	padres
para	para
engañaros	engañaros
y	y
finge	finge
que	que
os	os
quiere	quiere
para	para
sacaros	sacaros
de	de
ay	ahí
y	y
llevaros	llevaros
a	a
casa	casa
de	de
vuestro	vuestro
padre	padre
quien	¿quién
os	os
defendera	defenderá
mejor	mejor
de	de
ellos	ellos
y	y
de	de
su	su
yra	ira
y	y
colera	cólera
yo	¿yo
a	a
quien	quien
vuestro	vuestro
padre	padre
no	no
se	se
atrevera	atreverá
a	a
enojar	enojar
o	¿o
el	él
que	que
si	si
vuestro	vuestro
padre	padre
le	le
manda	manda
que	que
os	os
lleve	lleve
a	a
su	su
casa	casa
y	y
os	os
dexe	deje
alli	allí
y	y
os	os
meta	meta
en	en
el	el
pozo	pozo
lo	lo
a	ha
de	de
hazer	hacer
mirad	mirad
mi	mi
señora	señora
que	que
en	en
los	los
casamientos	casamientos
se	se
a	ha
de	de
procurar	procurar
el	el
contento	contento
y	y
gusto	gusto
de	de
los	los
casados	casados
y	y
con	con
nadie	nadie
tendreys	tendréis
mas	más
que	que
conmigo	conmigo
y	y
yo	yo
con	con
vos	vos
no	no
me	me
culpeys	culpéis
ni	ni
culpeys	culpéis
a	a
vuestro	vuestro
cuñado	cuñado
el	el
licenciado	licenciado
marin	marín
en	en
no	no
hazer	hacer
mas	más
de	de
lo	lo
que	que
pareçe	parece
que	que
hazemos	hacemos
por	por
vos	vos
porq	porque
de	de
todo	todo
la	la
culpa	culpa
es	es
no	no
afirmaros	afirmaros
vos	vos
en	en
mi	mi
fabor	favor
firmisimamente	firmísimamente
de	de
una	una
vez	vez
porque	porque
como	como
os	os
an	han
engañado	engañado
en	en
hazeros	haceros
dezir	decir
que	que
quereys	queréis
hazer	hacer
la	la
voluntad	voluntad
de	de
vro	vuestro
padre	padre
y	y
no	no
casaros	casaros
comigo	conmigo
hazen	hacen
entender	entender
a	a
el	el
illustrissimo	ilustrísimo
cardenal	cardenal
q	que
vos	vos
no	no
aveis	habéis
querido	querido
jamas	jamás
ni	ni
quereis	queréis
casaros	casaros
conmigo	conmigo
y	y
que	que
yo	yo
y	y
mis	mis
deudos	deudos
os	os
queremos	queremos
engañar	engañar
y	y
persuadir	persuadir
a	a
que	que
os	os
caseys	caséis
comigo	conmigo
y	y
por	por
esto	esto
nos	nos
an	han
puesto	puesto
gravisimas	gravísimas
penas	penas
si	si
entramos	entramos
en	en
sant	san
leandro	leandro
y	y
mill	mil
espias	espías
con	con
lo	lo
qual	cual
y	y
con	con
que	que
vuestros	vuestros
padres	padres
nunca	nunca
salen	salen
de	de
ay	ahí
no	no
es	es
posible	posible
veros	veros
pero	pero
seguimos	seguimos
el	el
pleyto	pleito
bravisimamente	bravísimamente
y	y
lo	lo
seguiremos	seguiremos
hasta	hasta
la	la
muerte	muerte
aunque	aunque
gastemos	gastemos
diez	diez
mill	mil
ducados	ducados
en	en
el	él
defendiendoos	defendiéndoos
de	de
diego	diego
de	de
cuellar	cuéllar
y	y
vros	vuestros
padres	padres
y	y
no	no
os	os
engañe	engañe
quien	quien
os	os
dixere	dijere
otra	otra
cosa	cosa
porque	porque
me	me
dizen	dicen
que	que
os	os
an	han
hecho	hecho
creer	creer
que	que
ya	ya
no	no
lo	lo
queremos	queremos
seguir	seguir
lo	lo
qual	cual
es	es
grandisima	grandísima
mentira	mentira
y	y
falsedad	falsedad
y	y
si	si
vos	vos
quereis	queréis
hazer	hacer
lo	lo
que	que
aqui	aquí
os	os
digo	digo
no	no
es	es
pleyto	pleito
y	y
se	se
acabara	acabará
en	en
muy	muy
pocos	pocos
dias	días
y	y
porque	porque
no	no
me	me
quiero	quiero
alargar	alargar
mas	más
me	me
resumo	resumo
mi	mi
señora	señora
y	y
mi	mi
esposa	esposa
en	en
que	que
si	si
no	no
quereis	queréis
que	que
yo	yo
muera	muera
y	y
que	que
este	este
pleito	pleito
y	y
vra	vuestra
estançia	estancia
ay	ahí
duren	duren
mill	mil
años	años
publicamente	públicamente
digais	digáis
a	a
doña	doña
valentina	valentina
y	y
a	a
el	el
abadesa	abadesa
y	y
a	a
todas	todas
las	las
monjas	monjas
y	y
a	a
el	el
visitador	visitador
si	si
ay	ahí
entrare	entrare
y	y
a	a
el	el
juez	juez
si	si
ay	ahí
fuere	fuere
sin	sin
tener	tener
respeto	respeto
ni	ni
verguença	vergüenza
sino	sino
con	con
muncha	mucha
libertad	libertad
como	como
la	la
tuvisteis	tuvisteis
a	a
el	el
prinçipio	principio
en	en
casa	casa
de	de
vro	vuestro
padre	padre
y	y
en	en
el	el
enparedamiento	emparedamiento
quando	cuando
declarasteis	declarasteis
en	en
mi	mi
fabor	favor
que	que
os	os
den	den
a	a
vro	vuestro
marido	marido
y	y
dezid	decid
que	que
no	no
lo	lo
a	ha
de	de
ser	ser
otro	otro
sino	sino
yo	yo
y	y
que	que
asi	así
lo	lo
jurais	juráis
y	y
prometeys	prometéis
a	a
dios	dios
nro	nuestro
sr	señor
y	y
que	que
quanto	cuanto
aveis	habéis
dho	dicho
contra	contra
esto	esto
a	ha
sido	sido
porque	porque
os	os
an	han
forçado	forzado
a	a
ello	ello
y	y
contra	contra
vuestra	vuestra
voluntad	voluntad
y	y
que	que
ya	ya
no	no
quereys	queréis
disimular	disimular
mas	más
y	y
quando	cuando
os	os
llamen	llamen
al	al
locutorio	locutorio
vros	vuestros
